series,time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Class
132,0.841,0.219971,-0.980713,-0.04126,-34.229008,20.198473,38.603053,4
132,0.846,0.204834,-0.990479,0.008057,-29.526718,21.725191,37.061069,4
132,0.857,0.196777,-0.992188,-0.005859,-29.870229,23.045802,33.320611,4
132,0.863,0.19043,-0.997314,0.020508,-26.740458,25.755725,31.70229,4
132,0.868,0.18457,-0.968506,0.037109,-23.351145,27.900763,29.732824,4
132,0.874,0.171631,-0.967529,0.061768,-23.458015,29.381679,27.145038,4
132,0.88,0.193604,-0.922607,0.054932,-21.633588,30.954198,25.0,4
132,0.885,0.196045,-0.922363,0.046387,-22.152672,37.587786,22.282443,4
133,0.46,0.070557,-1.2146,-0.025146,44.862595,-32.022901,15.603053,4
133,0.466,0.003418,-1.218018,-0.032715,39.572519,-35.290076,15.053435,4
133,0.471,-0.058105,-1.133789,-0.004639,49.030534,-38.816794,14.931298,4
133,0.477,-0.162109,-1.278564,-0.01709,33.679389,-43.083969,15.526718,4
133,0.482,-0.180908,-1.1521,-0.033447,41.969466,-46.358779,15.839695,4
133,0.488,-0.268311,-1.140381,0.00293,35.480916,-36.992366,16.503817,4
133,0.493,-0.377441,-1.168701,-0.116455,25.80916,-28.847328,18.053435,4
133,0.505,-0.505615,-1.084961,-0.194824,21.625954,-7.648855,22.091603,4
133,0.51,-0.544189,-1.143799,-0.12793,7.038168,3.931298,23.625954,4
133,0.516,-0.571777,-1.153076,-0.152588,4.778626,12.29771,25.145038,4
133,0.521,-0.560547,-0.988281,-0.232666,2.862595,21.870229,25.022901,4
133,0.527,-0.613525,-1.031738,-0.153076,-5.748092,34.267176,25.389313,4
133,0.532,-0.60083,-0.971924,-0.195801,-4.801527,47.862595,26.381679,4
133,0.544,-0.555908,-0.920654,-0.091797,-11.885496,70.007634,27.564885,4
133,0.549,-0.533203,-0.964111,-0.126953,-17.839695,76.80916,28.480916,4
133,0.555,-0.479004,-0.992188,-0.188965,-18.48855,76.732824,29.129771,4
133,0.56,-0.433594,-1.006592,-0.193359,-26.244275,75.091603,30.099237,4
133,0.566,-0.385498,-1.038574,-0.196533,-29.763359,69.534351,30.954198,4
133,0.571,-0.355469,-1.054443,-0.171875,-34.984733,65.78626,32.328244,4
133,0.576,-0.3125,-1.049561,-0.177246,-34.122137,60.954198,34.496183,4
133,0.588,-0.284668,-1.082031,-0.166504,-38.908397,43.183206,40.709924,4
133,0.594,-0.24585,-1.074707,-0.165283,-37.389313,29.618321,44.450382,4
133,0.599,-0.228516,-1.075195,-0.162109,-34.709924,13.770992,48.091603,4
133,0.604,-0.204102,-1.069336,-0.13916,-31.946565,-2.366412,51.320611,4
133,0.61,-0.191406,-1.081787,-0.129883,-36.824427,-14.290076,54.541985,4
133,0.615,-0.162354,-1.078369,-0.14209,-31.335878,-25.114504,56.648855,4
133,0.621,-0.194336,-1.13501,-0.018555,-43.351145,-32.206107,57.80916,4
133,0.633,-0.186035,-1.040527,0.022461,-42.206107,-45.335878,60.061069,4
133,0.638,-0.194336,-1.120605,0.003906,-47.816794,-52.671756,60.793893,4
133,0.643,-0.203857,-1.079834,0.024902,-43.954198,-58.671756,62.015267,4
133,0.649,-0.182373,-1.07251,0.008789,-40.908397,-59.671756,63.267176,4
133,0.654,-0.194092,-1.096191,0.054199,-42.549618,-63.091603,63.648855,4
133,0.66,-0.175781,-1.117188,0.075684,-44.572519,-61.396947,64.122137,4
133,0.672,-0.133545,-1.08374,0.063721,-40.694656,-57.664122,65.832061,4
133,0.677,-0.11377,-1.115479,0.0979,-49.022901,-55.328244,66.183206,4
133,0.682,-0.082275,-1.092773,0.038574,-41.656489,-52.320611,66.450382,4
133,0.688,-0.085449,-1.08374,0.119629,-45.236641,-45.305344,65.954198,4
133,0.693,-0.053955,-1.062988,0.087646,-42.671756,-44.343511,65.167939,4
133,0.699,-0.05127,-1.085205,0.12915,-49.274809,-37.396947,64.503817,4
133,0.704,-0.013184,-1.067383,0.06543,-41.229008,-33.870229,63.610687,4
133,0.716,0.010986,-1.105469,0.122559,-46.625954,-24.129771,61.267176,4
133,0.721,0.031982,-1.103027,0.124023,-48.259542,-17.847328,60.221374,4
133,0.727,0.049316,-1.086426,0.172852,-43.732824,-14.267176,58.870229,4
133,0.732,0.068359,-1.080078,0.16626,-42.503817,-7.625954,57.328244,4
133,0.738,0.080811,-1.088867,0.16748,-41.877863,-2.534351,56.038168,4
133,0.743,0.104004,-1.027588,0.17334,-35.045802,5.496183,54.793893,4
133,0.749,0.082031,-1.059326,0.220459,-40.656489,11.267176,53.015267,4
133,0.755,0.128418,-1.035156,0.171631,-37.526718,17.358779,52.022901,4
